song_name,artist,album,genre
Porsche,Jovem Dex,Porsche,rap
Surtada,Neo Beats,Surtada,rap
Hortelã,JayA Luuck,Hortelã,rap
Bad Bad Bad,Kalli,Bad Bad Bad,rap
Jordan,Kawe,Jordan,rap
Flash,MC Caverinha,Flash,rap
Mantém,WIU,Mantém,rap
Multiplica,Meno Tody,Multiplica,rap
Tango,Jovem Dex,Tango,rap
Dababy,Dfideliz,Dababy,rap
Flutuo,Leozin,Flutuo,rap
Sessão do Descarrego,Filipe Ret,Sessão do Descarrego,rap
Baby Hair,Recayd Mob,Baby Hair,rap
Jovem Tralha,Felp 22,Jovem Tralha,rap
Um Pedido,Hungria Hip Hop,Um Pedido,rap
Olha Pro Oclin,Sidoka,Doka Language,rap
Tipo uma Glock,Jovem Dex,Tipo uma Glock,rap
Pipe,MC Igu,Pipe,rap
Novo Drip,Recayd Mob,Novo Drip,rap
Petalaz,Sidoka,Petalaz,rap
Cabelinho Disfarçado,Bonde R300,Cabelinho Disfarçado,rap
Tipo Gta,MC Caverinha,Tipo Gta,rap
Rockstar,Jovem Dex,Rockstar,rap
Jogo Virou,Cacife Clandestino,Trilogia Contravenção,rap
Sucesso Na Vida,Choice,Sucesso Na Vida,rap
Plaqtudum,Recayd Mob,Plaqtudum,rap
Nicole Bahls,MC Igu,Nicole Bahls,rap
Sommelier,Sidoka,Sommelier,rap
Rock N' Roll,Dfideliz,Rock N' Roll,rap
10K,Raffa Moreira,10K,rap
Kylie Jenner,Derek,Kylie Jenner,rap
Money,Jovem Dex,Money,rap
Espanha,Sidoka,Doka Language,rap
"Obrigado, Mãe.",Dfideliz,"Obrigado, Mãe.",rap
Preto Rico,Dfideliz,Preto Rico,rap
Anos Luz,Matuê,Anos Luz,rap
Scotch,Sidoka,Elevate,rap
Pinky Ring - Remix,Miky Woodz,Pinky Ring (Remix),rap
Gan-Ga - Remix,Bryant Myers,Gan-Ga (Remix),rap
Si Me Gano Un Grammy,Jon Z,Si Me Gano Un Grammy,rap
Patek,Ozuna,Nibiru,rap
Subiendo De Nivel,Jhay Cortez,Famouz,rap
Canam,Farruko,Canam,rap
Cereza,Fuego,Cereza,rap
Subimos de Rango,Omy de Oro,Subimos de Rango,rap
FEKA,De La Ghetto,FEKA,rap
La Playa - Remix,Myke Towers,La Playa (Remix),rap
Suave - Remix,Jey Blessing,Suave (Remix),rap
Champagne Rose,Amenazzy,Champagne Rose,rap
Disimulas,Alex Rose,LOST,rap
Memoria Rota,Arcangel,Memoria Rota,rap
El Final,J Alvarez,"La Fama Que Camina, Vol. 2",rap
No Le Baje (Como en los Viejos Tiempos),Miky Woodz,No Le Baje (Como en los Viejos Tiempos),rap
Velitas,Darell,Velitas,rap
Demasiado Tarde,Micro Tdh,Demasiado Tarde,rap
Lalu,Omy de Oro,Lalu,rap
YO LE LLEGO,J Balvin,OASIS,rap
Vamos Pa' Encimota,D.OZI,Vamos Pa' Encimota,rap
Tú No Amas,Mambo Kingz,Tú No Amas,rap
Por Contarle Los Secretos,Jon Z,Por Contarle Los Secretos,rap
Te Di Primero,Mathew,Te Di Primero,rap
Salgo a Buscarte,Jon Z,Salgo a Buscarte,rap
Me Pagan,Aleman,Me Pagan,rap
Deja Que Fluya,Lary Over,Deja Que Fluya,rap
Adelanto,Chris Wandell,Adelanto,rap
Cambio,Ozuna,Cambio,rap
Peleamos Mañana,Jon Z,Peleamos Mañana,rap
Kemba Walker,Eladio Carrion,Kemba Walker,rap
Otro Round,Brytiago,Otro Round,rap
Hennessy,Neutro Shorty,Apokalypsis,rap
El Proceso,HANSEL,El Proceso,rap
Camara Roll,Leebrian,Camara Roll,rap
Ven y Hazlo Tú,Nicky Jam,Ven y Hazlo Tú,rap
Por Ley,Anuel AA,Por Ley,rap
Los Que Son,Jamby el Favo,Los Que Son,rap
Estamos Arriba,Bad Bunny,Estamos Arriba,rap
Perdoname,Mora,Perdoname,rap
