song_name,artist,album,genre
Memories - Dillon Francis Remix,Maroon 5,Memories),Pop
Here With Me,Marshmello,Here With Me,Pop
Stay,Zedd,Stay,Pop
Clarity,Zedd,Clarity,Pop
Solo (feat. Demi Lovato),Clean Bandit,Solo (feat. Demi Lovato),Pop
Scared to Be Lonely,Martin Garrix,Scared to Be Lonely,Pop
Friends (with BloodPop®),Justin Bieber,Friends,Pop
RITMO (Bad Boys For Life),The Black Eyed Peas,RITMO (Bad Boys For Life),Pop
Promises (with Sam Smith),Calvin Harris,Promises (with Sam Smith),Pop
Light,San Holo,Light,Pop
2U,David Guetta,2U,Pop
Something Just Like This,The Chainsmokers,Memories...Do Not Open,Pop
One Kiss (with Dua Lipa),Calvin Harris,One Kiss (with Dua Lipa),Pop
This Is What You Came For,Calvin Harris,This Is What You Came For,Pop
Wake Me Up,Avicii,True,Pop
Firework,Katy Perry,Teenage Dream,Pop
Anything Could Happen,Ellie Goulding,Halcyon,Pop
Poker Face,Lady Gaga,The Fame,Pop
How Deep Is Your Love,Calvin Harris,How Deep Is Your Love,Pop
So Close,NOTD,So Close (feat. Georgia Ku),Pop
Look Into My Eyes,Brando,Look Into My Eyes,Pop
Not in Control,Glaceo,Not in Control,Pop
Don't Waste My Time,Kharfi,Don't Waste My Time,Pop
Beat Of My Heart,Lost Frequencies,Alive And Feeling Fine,Pop
Don't Start Now - Kungs Remix,Dua Lipa,Don't Start Now (Kungs Remix),Pop
Drunken Truth,Steve Void,The Seed EP,Pop
Jacques,Jax Jones,Jacques,Pop
Something Real,Armin van Buuren,Balance,Pop
Thorns,Faustix,Thorns,Pop
Forever,Martin Garrix,Forever,Pop
The Days,Avicii,The Days / Nights,Pop
My Way,Calvin Harris,My Way,Pop
Happy Now,Zedd,Happy Now,Pop
I Believe,Youngheart,I Believe,Pop
Come To Life,Neon Feather,Come To Life,Pop
Neighbour,Verses,Neighbour,Pop
Thraa,Doje,Thraa,Pop
Instant Crush,Daft Punk,Random Access Memories,Pop
